标题：求646，884的复试资料	链接：http://tieba.baidu.com/p/5995601588	创建时间：1-2	作者：小鱼vook	发帖图片地址:：没图片	最后的回复时间：1-2	回复数量：2	
标题：有法硕的学长学姐么想问一下法硕复试准备什么，怎么准备？一脸茫	链接：http://tieba.baidu.com/p/5995742141	创建时间：1-2	作者：咖啡不解...	发帖图片地址:：没图片	最后的回复时间：1-2	回复数量：0	
标题：请问上大的专硕拿的奖学金是否比学硕的少呢？比如：电子与通信工	链接：http://tieba.baidu.com/p/5992836546	创建时间：2018-12	作者：_Harvey___	发帖图片地址:：没图片	最后的回复时间：1-2	回复数量：1	
标题：我们学校的eduroam是更改了用户名格式吗？在国外连不上	链接：http://tieba.baidu.com/p/5888875258	创建时间：2018-09	作者：tent6	发帖图片地址:：没图片	最后的回复时间：1-2	回复数量：3	
标题：毕业还留在上海的举个手，我来弄个毕业生交流群😄	链接：http://tieba.baidu.com/p/5995643840	创建时间：1-2	作者：或许是你...	发帖图片地址:：没图片	最后的回复时间：1-2	回复数量：1	
标题：上海大学学生乐队招募	链接：http://tieba.baidu.com/p/5993258465	创建时间：2018-12	作者：爱黎明吧	发帖图片地址:：没图片	最后的回复时间：1-2	回复数量：3	
标题：有没有上大软件工程学硕的学长学姐 2020考研 求带	链接：http://tieba.baidu.com/p/5995605376	创建时间：1-2	作者：兜_宋	发帖图片地址:：没图片	最后的回复时间：1-2	回复数量：0	
标题：上海大学延长校区能租借书卡吗	链接：http://tieba.baidu.com/p/5995599422	创建时间：1-2	作者：1206461577	发帖图片地址:：没图片	最后的回复时间：1-2	回复数量：0	
标题：上海考研寄宿学校有哪些？跨专业的，完全不知道如何入门	链接：http://tieba.baidu.com/p/5989557031	创建时间：2018-12	作者：老虎不发...	发帖图片地址:：没图片	最后的回复时间：1-2	回复数量：3	
标题：想有个男朋友	链接：http://tieba.baidu.com/p/4911541994	创建时间：2016-12	作者：可久三年	发帖图片地址:：没图片	最后的回复时间：1-2	回复数量：481	
标题：想考研考上海大学。想知道上海大学考研要不要三本的还有想知道上	链接：http://tieba.baidu.com/p/5993606500	创建时间：2018-12	作者：怪兽丶smile	发帖图片地址:：没图片	最后的回复时间：1-2	回复数量：7	
标题：求上海大学生物学 考研复试分子的资料，1218649494	链接：http://tieba.baidu.com/p/5987574744	创建时间：2018-12	作者：wenqing16854	发帖图片地址:：没图片	最后的回复时间：1-2	回复数量：10	
标题：交友创业贴	链接：http://tieba.baidu.com/p/5995403576	创建时间：1-1	作者：CHIC	发帖图片地址:：没图片	最后的回复时间：1-2	回复数量：4	
标题：携程现在为了赚钱良知都没有了！买火车票要是不花钱买他的加速包	链接：http://tieba.baidu.com/p/5993211429	创建时间：2018-12	作者：tb上官清华	发帖图片地址:：没图片	最后的回复时间：1-2	回复数量：2	
标题：新生求照顾。	链接：http://tieba.baidu.com/p/3991757808	创建时间：2015-08	作者：猫小妖	发帖图片地址:：没图片	最后的回复时间：1-1	回复数量：1	
标题：求一只文学院学考古的专业前辈！求一整套复习资料！本人想报考新	链接：http://tieba.baidu.com/p/5911634540	创建时间：2018-10	作者：Natsume黑白君	发帖图片地址:：没图片	最后的回复时间：1-1	回复数量：7	
标题：请问高考文科上大要多少分 四川全国卷三	链接：http://tieba.baidu.com/p/5993955747	创建时间：2018-12	作者：爸爸	发帖图片地址:：没图片	最后的回复时间：1-1	回复数量：1	
标题：二战雅思已过吼吼吼，来分享姿料给学弟学妹~~	链接：http://tieba.baidu.com/p/5456164487	创建时间：2017-11	作者：ladies白羊	发帖图片地址:：没图片	最后的回复时间：1-1	回复数量：73	
标题：求助求助	链接：http://tieba.baidu.com/p/5995210910	创建时间：1-1	作者：shueaa	发帖图片地址:：没图片	最后的回复时间：1-1	回复数量：0	
标题：延长校区 或者嘉定校区 问一问有没有电瓶车转卖的？	链接：http://tieba.baidu.com/p/5995093220	创建时间：1-1	作者：小心小蚂蚱	发帖图片地址:：没图片	最后的回复时间：1-1	回复数量：0	
标题：请问外校的寄信到宝山校区的话会被投递在哪里啊	链接：http://tieba.baidu.com/p/5994656726	创建时间：1-1	作者：莱絮尔杰	发帖图片地址:：没图片	最后的回复时间：1-1	回复数量：1	
标题：19上大法学刚考完，希望能考上吧	链接：http://tieba.baidu.com/p/5995039426	创建时间：1-1	作者：安迪的朋友	发帖图片地址:：没图片	最后的回复时间：1-1	回复数量：0	
标题：上海大学宝山校区的图书馆不是在校学生可以进去么？里面有那种可	链接：http://tieba.baidu.com/p/5994982739	创建时间：1-1	作者：why荒芜一世	发帖图片地址:：没图片	最后的回复时间：1-1	回复数量：1	
标题：求问上海大学法硕非法学复试经验，有没有上大法硕学长学姐？	链接：http://tieba.baidu.com/p/5993866821	创建时间：2018-12	作者：博璿	发帖图片地址:：没图片	最后的回复时间：1-1	回复数量：1	
标题：问一下大佬们上大大一可以不住校吗。。。。	链接：http://tieba.baidu.com/p/5993261022	创建时间：2018-12	作者：真音乐天...	发帖图片地址:：没图片	最后的回复时间：1-1	回复数量：6	
标题：当家教，高中数学，化学，上大学生	链接：http://tieba.baidu.com/p/5990605864	创建时间：2018-12	作者：KK_mini_Ziki	发帖图片地址:：没图片	最后的回复时间：1-1	回复数量：2	
标题：寒假有一起去南京玩的妹子吗？本人女，上大学生，求个伴。。。。	链接：http://tieba.baidu.com/p/5989190438	创建时间：2018-12	作者：cindy若谷幽兰	发帖图片地址:：没图片	最后的回复时间：1-1	回复数量：25	
标题：有学姐学长知道春考进上大的话 一般要比最低分数线高多少才比较	链接：http://tieba.baidu.com/p/5994968526	创建时间：1-1	作者：陆从寒	发帖图片地址:：没图片	最后的回复时间：1-1	回复数量：2	
标题：上海大学热心肠的学长来为各位萌	链接：http://tieba.baidu.com/p/5204319731	创建时间：2017-07	作者：wtx199802	发帖图片地址:：没图片	最后的回复时间：1-1	回复数量：2139	
标题：上海大学金融专硕考研专业课资料 备考初期在各种地方搜集了很多	链接：http://tieba.baidu.com/p/5993487838	创建时间：2018-12	作者：凝柒然	发帖图片地址:：没图片	最后的回复时间：1-1	回复数量：1	
标题：分享：个人转租 无中介 上海租房宝翔苑，距离刘行地铁站800米	链接：http://tieba.baidu.com/p/5994903576	创建时间：1-1	作者：少年有酒窝	发帖图片地址:：没图片	最后的回复时间：1-1	回复数量：0	
标题：求新闻与传播专业本科期末试题和各老师课件	链接：http://tieba.baidu.com/p/5992414827	创建时间：2018-12	作者：北方呀	发帖图片地址:：没图片	最后的回复时间：1-1	回复数量：7	
标题：有兼职创业想法的讨论讨论！！！	链接：http://tieba.baidu.com/p/5900790790	创建时间：2018-10	作者：奋斗木槿	发帖图片地址:：没图片	最后的回复时间：1-1	回复数量：30	
